Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
30-61 41 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007688,216917
30-63 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1004796,218729
30-64 35 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1006587,217621
30-66 35 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1006580,217609
30-70 35 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Open,Site downloaded for cleaning,,1006565,217585
30-70 37 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,1006976,217261
30-72 36 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/03/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2010 07:00 AM +0000,1006710,217325
30-74 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,03/21/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1007408,216970
30-76 33 STREET,QUEENS,01 QUEENS,Precinct 114,22,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,1006066,217768
30-78 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009817,215209
30-80 37 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/16/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,1006935,217194
30-80 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009815,215203
30-82 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,1005559,217937
30-84 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,04/30/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,1005550,217921
30-84 37 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/16/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,1006918,217167
30-84 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009812,215192
30-85 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1005555,217918
30-86 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009811,215186
30-88 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009809,215181
30-89 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1005535,217886
30-90 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009808,215175
30-92 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009806,215169
30-94 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009805,215164
30-96 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2011 07:00 AM +0000,1009803,215158
30-97 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1005495,217822
30-97 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,06/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2011 07:00 AM +0000,1007316,216809
30-98 43 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1007896,216274
30-98 51 STREET,QUEENS,01 QUEENS,Precinct 114,22,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2011 07:00 AM +0000,1009802,215153
30-99 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,07/19/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1007307,216796
300 CANAL STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,04/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2011 07:00 AM +0000,983672,201420
300 CITY ISLAND AVENUE,BRONX,10 BRONX,Precinct 45,13,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2010 07:00 AM +0000,1043352,247926
300 EAST 109 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,8,12/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1000675,227972
300 EAST 4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,08/08/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,989632,202485
300 EAST 81 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,05/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,997062,221451
300 EAST 82 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2011 07:00 AM +0000,997191,221683
300 EAST 83 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,12/16/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/15/2011 07:00 AM +0000,997318,221913
300 EAST 83 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2011 07:00 AM +0000,997318,221913
300 EAST 88 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,03/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2011 07:00 AM +0000,997975,223100
300 EAST 88 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,07/05/2011 07:00 AM +0000,997975,223100
300 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,12/07/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,998355,223786
300 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,03/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,998355,223786
300 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,05/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/09/2011 07:00 AM +0000,998355,223786
300 GENESEE AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,51,06/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,937943,140720
300 KINGSLAND AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,02/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,1000367,204136
300 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,1,03/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/13/2011 07:00 AM +0000,986010,205402
300 NORTH 7 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,10/19/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,997209,199788
300 SOUNDVIEW AVENUE,BRONX,09 BRONX,Precinct 43,18,03/29/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2011 07:00 AM +0000,1024049,234991
300 WEST 144 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2010 08:00 AM +0000,1000142,238842
300 WEST 151 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,11/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,1001048,240465
300 WEST 155 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,05/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/28/2011 07:00 AM +0000,1001553,241400
300 WEST 21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,10/26/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,984290,210402
300 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2011 07:00 AM +0000,1024156,235063
300 WILD AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,931219,153374
3001 MIDDLETOWN ROAD,BRONX,10 BRONX,Precinct 45,13,01/21/2011 08:00 AM +0000,Open,Site downloaded for cleaning,,1031198,246779
3001 SEAGIRT AVENUE,QUEENS,14 QUEENS,Precinct 101,31,02/11/2011 08:00 AM +0000,Open,Site downloaded for cleaning,,1049961,156024
3003 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,45,07/28/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999558,164160
3003 MATTHEWS AVENUE,BRONX,12 BRONX,Precinct 47,12,12/01/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1022293,256238
3004 CRUGER AVENUE,BRONX,12 BRONX,Precinct 47,12,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/21/2010 07:00 AM +0000,1021260,256262
3004 HEATH AVENUE,BRONX,08 BRONX,Precinct 50,14,10/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,1011075,258451
3006 DECATUR AVENUE,BRONX,07 BRONX,Precinct 52,11,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2011 07:00 AM +0000,1016871,256026
3007 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,1029191,245462
3008 AVENUE I,BROOKLYN,18 BROOKLYN,Precinct 63,45,04/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,998929,168508
3009 AVENUE L,BROOKLYN,18 BROOKLYN,Precinct 63,45,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2010 08:00 AM +0000,999306,165901
3009 HARDING AVENUE,BRONX,10 BRONX,Precinct 45,13,02/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2011 07:00 AM +0000,1036338,236841
3009 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2011 07:00 AM +0000,1000616,162213
301 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,01/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,987973,185838
301 AVENUE F,BROOKLYN,12 BROOKLYN,Precinct 66,39,11/20/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,991085,170046
301 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/12/2010 08:00 AM +0000,983639,201459
301 EAST 104 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,8,01/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1000024,226797
301 EAST 108 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/10/2011 07:00 AM +0000,,
301 EAST 71 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,04/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2011 07:00 AM +0000,995745,219074
301 EAST 82 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,997194,221688
301 EAST 88 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2010 08:00 AM +0000,997978,223105
301 EAST 89 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,05/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2011 07:00 AM +0000,998104,223335
301 EAST 90 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,12/08/2010 08:00 AM +0000,998230,223563
301 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/05/2010 07:00 AM +0000,998358,223791
301 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,03/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,998358,223791
301 EAST TREMONT AVENUE,BRONX,05 BRONX,Precinct 46,14,04/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2011 07:00 AM +0000,1011045,248488
301 MORRIS AVENUE,BRONX,01 BRONX,Precinct 40,17,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2010 08:00 AM +0000,1004675,235266
301 MORRIS AVENUE,BRONX,01 BRONX,Precinct 40,17,02/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1004675,235266
301 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 9,1,12/06/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/11/2011 08:00 AM +0000,985689,203479
301 TEN EYCK STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,02/18/2011 08:00 AM +0000,Open,Unspecified,,1001708,198453
301 WEST 111 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,995903,231226
301 WEST 112 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,03/11/2011 08:00 AM +0000,Open,Graffiti Reported,,996030,231454
301 WEST 115 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,07/12/2011 07:00 AM +0000,Open,Unspecified,,996411,232142
301 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,10/25/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2010 07:00 AM +0000,996547,232388
301 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,03/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,997710,234484
301 WEST 128 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,10/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/03/2010 08:00 AM +0000,998111,235180
301 WEST 13 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,01/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/14/2011 07:00 AM +0000,983365,208564
301 WEST 143 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,,
301 WEST 152 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,09/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2010 07:00 AM +0000,1001177,240698
301 WEST 154 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2010 07:00 AM +0000,1001421,241157
301 WEST 154 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,7,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/28/2011 07:00 AM +0000,1001421,241157
301 WEST 18 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,01/08/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2011 08:00 AM +0000,983938,209768
301 WEST 18 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/06/2011 07:00 AM +0000,,
301 WEST 20 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,10/26/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,10/28/2010 07:00 AM +0000,984175,210194
301 WEST 30 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,3,10/26/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,12/03/2010 08:00 AM +0000,985437,212472
301 WEST 96 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,9,04/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/27/2011 07:00 AM +0000,991594,229055
3010 AVENUE M,BROOKLYN,18 BROOKLYN,Precinct 63,45,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/29/2010 07:00 AM +0000,999437,165026
3011 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,45,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2010 07:00 AM +0000,999623,164169
3011 HONE AVENUE,BRONX,12 BRONX,Precinct 47,12,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,1023633,256245
3012 WALLACE AVENUE,BRONX,12 BRONX,Precinct 47,12,11/08/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2010 08:00 AM +0000,1021780,256267
3015 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,04/01/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2011 07:00 AM +0000,1016659,186455
3015 BRIGHTON 13 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,996603,150570
3015 PERRY AVENUE,BRONX,07 BRONX,Precinct 52,11,11/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1016692,256608
3015 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46,01/02/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1000626,162222
3015 ROBERTS AVENUE,BRONX,10 BRONX,Precinct 45,13,04/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/09/2011 07:00 AM +0000,1031106,247361
3015 ROBERTS AVENUE,BRONX,10 BRONX,Precinct 45,13,08/04/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1031106,247361
3016 SEAGIRT AVENUE,QUEENS,14 QUEENS,Precinct 101,31,02/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1050068,156045
3017 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46,01/02/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1000629,162225
3018 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,03/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2011 07:00 AM +0000,1029278,245347
3018 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,07/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2011 07:00 AM +0000,1029278,245347
3018 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,08/11/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1029278,245347
302 72 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,10/22/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2010 07:00 AM +0000,976821,170065
302 ALBEMARLE ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,39,06/24/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,990472,174398
302 AVENUE F,BROOKLYN,14 BROOKLYN,Precinct 70,44,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,991090,170040
302 CONVENT AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7,04/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/09/2011 07:00 AM +0000,998776,239085
302 EAST 119 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,12/14/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1001985,230289
302 EAST 126 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,12/14/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2011 07:00 AM +0000,1002913,231914
302 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,998364,223781
302 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,998364,223781
302 STUYVESANT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1003008,188649
3020 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,07/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2011 07:00 AM +0000,1029292,245332
3020 JEROME AVENUE,BRONX,07 BRONX,Precinct 52,11,07/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2011 07:00 AM +0000,1014929,257731
3025 RADCLIFF AVENUE,BRONX,12 BRONX,Precinct 47,12,11/02/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2010 08:00 AM +0000,1022854,256270
3028 KINGSBRIDGE TERRACE,BRONX,08 BRONX,Precinct 50,11,12/01/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2011 08:00 AM +0000,1011451,258559
303 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,02/16/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,987964,185823
303 AVENUE S,BROOKLYN,11 BROOKLYN,Precinct 62,47,01/14/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,991439,158468
303 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,11/03/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2010 08:00 AM +0000,983623,201474
303 EAST 115 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,11/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1001447,229341
303 EAST 119 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,02/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/05/2011 07:00 AM +0000,1001979,230300
